DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	ethiopia
COLOR	#808080

LEGEND_TITLE	ethiopia
LEGEND_SHAPES	1	1
LEGEND_COLORS	#fdbf6f	#808080
LEGEND_LABELS	Ethiopia	Not Ethiopia

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
SRR11904581	#808080	Not Ethiopia
SRR11904639	#808080	Not Ethiopia
SRR11904880	#808080	Not Ethiopia
SRR8171845	#808080	Not Ethiopia
SRR8172048	#808080	Not Ethiopia
SRR9877752	#808080	Not Ethiopia
SRR11724303	#808080	Not Ethiopia
SRR11724313	#808080	Not Ethiopia
SRR11724335	#808080	Not Ethiopia
SRR11724389	#808080	Not Ethiopia
SRR12612457	#808080	Not Ethiopia
SRR16644049	#808080	Not Ethiopia
SRR16644238	#808080	Not Ethiopia
SRR16644256	#808080	Not Ethiopia
SRR16644412	#808080	Not Ethiopia
SRR7226406	#808080	Not Ethiopia
ERR9837253	#808080	Not Ethiopia
ERR9837399	#808080	Not Ethiopia
ERR9837534	#808080	Not Ethiopia
ERR9837759	#808080	Not Ethiopia
ERR9837832	#808080	Not Ethiopia
ERR9837931	#808080	Not Ethiopia
ERR9837935	#808080	Not Ethiopia
ERR9838094	#808080	Not Ethiopia
ERR9838205	#808080	Not Ethiopia
ERR9838266	#808080	Not Ethiopia
ERR9838470	#808080	Not Ethiopia
ERR9838471	#808080	Not Ethiopia
ERR9838494	#808080	Not Ethiopia
ERR9838603	#808080	Not Ethiopia
ERR9838629	#808080	Not Ethiopia
ERR9838641	#808080	Not Ethiopia
ERR9838773	#808080	Not Ethiopia
ERR9838777	#808080	Not Ethiopia
ERR9838796	#808080	Not Ethiopia
ERR9838830	#808080	Not Ethiopia
ERR9838831	#808080	Not Ethiopia
ERR9838835	#808080	Not Ethiopia
ERR9838845	#808080	Not Ethiopia
ERR9838849	#808080	Not Ethiopia
ERR9838871	#808080	Not Ethiopia
ERR9839010	#808080	Not Ethiopia
ERR9839146	#808080	Not Ethiopia
ERR9839149	#808080	Not Ethiopia
ERR9839208	#808080	Not Ethiopia
ERR9839210	#808080	Not Ethiopia
ERR9839505	#808080	Not Ethiopia
96MA	#808080	Not Ethiopia
CCC014	#808080	Not Ethiopia
CCC015	#808080	Not Ethiopia
CCC017	#808080	Not Ethiopia
CCC019	#808080	Not Ethiopia
CCC043	#808080	Not Ethiopia
DDD024	#808080	Not Ethiopia
ERR3577725	#808080	Not Ethiopia
ERR3577974	#808080	Not Ethiopia
ERR3578822	#808080	Not Ethiopia
ERR3578903	#808080	Not Ethiopia
ERR3578947	#808080	Not Ethiopia
ERR3579058	#808080	Not Ethiopia
ERR2799268	#808080	Not Ethiopia
SRR19962573	#808080	Not Ethiopia
AUNG1061	#808080	Not Ethiopia
AUNG114	#808080	Not Ethiopia
AUNG1217	#808080	Not Ethiopia
AUNG1427	#808080	Not Ethiopia
AUNG1501	#808080	Not Ethiopia
AUNG1723	#808080	Not Ethiopia
AUNG1892	#808080	Not Ethiopia
AUNG1900	#808080	Not Ethiopia
AUNG1940	#808080	Not Ethiopia
AUNG19	#808080	Not Ethiopia
AUNG29	#808080	Not Ethiopia
AUNG321	#808080	Not Ethiopia
AUNG367	#808080	Not Ethiopia
AUNG368	#808080	Not Ethiopia
AUNG589	#808080	Not Ethiopia
AUNG651	#808080	Not Ethiopia
AUNG927	#808080	Not Ethiopia
DRR248352	#808080	Not Ethiopia
DRR248365	#808080	Not Ethiopia
DRR248366	#808080	Not Ethiopia
DRR248367	#808080	Not Ethiopia
DRR248451	#808080	Not Ethiopia
ERR10172525	#808080	Not Ethiopia
ERR10172529	#808080	Not Ethiopia
ERR10172530	#808080	Not Ethiopia
ERR10172594	#808080	Not Ethiopia
ERR10172620	#808080	Not Ethiopia
ERR10172637	#808080	Not Ethiopia
ERR10172638	#808080	Not Ethiopia
