DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	ethiopia
COLOR	#808080

LEGEND_TITLE	ethiopia
LEGEND_SHAPES	1	1
LEGEND_COLORS	#fdbf6f	#808080
LEGEND_LABELS	Ethiopia	Representative genomes

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
ERR1143662	#808080	Representative genomes
ERR1143670	#808080	Representative genomes
ERR1143673	#808080	Representative genomes
ERR1143674	#808080	Representative genomes
ERR1143684	#808080	Representative genomes
ERR1143686	#808080	Representative genomes
ERR1143693	#808080	Representative genomes
ERR1143701	#808080	Representative genomes
ERR1143705	#808080	Representative genomes
ERR1143710	#808080	Representative genomes
ERR1469734	#808080	Representative genomes
ERR1469736	#808080	Representative genomes
ERR1469737	#808080	Representative genomes
ERR1514826	#808080	Representative genomes
ERR1514845	#808080	Representative genomes
ERR1528155	#808080	Representative genomes
ERR1528184	#808080	Representative genomes
ERR1528195	#808080	Representative genomes
ERR1528236	#808080	Representative genomes
ERR1528311	#808080	Representative genomes
ERR1549677	#808080	Representative genomes
ERR1549685	#808080	Representative genomes
ERR1549739	#808080	Representative genomes
ERR1549757	#808080	Representative genomes
ERR1549790	#808080	Representative genomes
ERR1555226	#808080	Representative genomes
ERR1555231	#808080	Representative genomes
ERR1560829	#808080	Representative genomes
ERR1560857	#808080	Representative genomes
ERR1560859	#808080	Representative genomes
ERR1560867	#808080	Representative genomes
ERR1560874	#808080	Representative genomes
ERR1560939	#808080	Representative genomes
ERR1602751	#808080	Representative genomes
ERR1602768	#808080	Representative genomes
ERR2133926	#808080	Representative genomes
ERR2133968	#808080	Representative genomes
ERR2133974	#808080	Representative genomes
ERR2799249	#808080	Representative genomes
ERR2799251	#808080	Representative genomes
ERR2799252	#808080	Representative genomes
ERR2799253	#808080	Representative genomes
ERR2799254	#808080	Representative genomes
ERR2799259	#808080	Representative genomes
ERR2799263	#808080	Representative genomes
ERR2799266	#808080	Representative genomes
ERR2799268	#808080	Representative genomes
ERR3325222	#808080	Representative genomes
ERR3325232	#808080	Representative genomes
ERR3325248	#808080	Representative genomes
ERR3325250	#808080	Representative genomes
ERR3325260	#808080	Representative genomes
ERR3325272	#808080	Representative genomes
ERR3325321	#808080	Representative genomes
ERR3325347	#808080	Representative genomes
ERR3325360	#808080	Representative genomes
ERR3325394	#808080	Representative genomes
ERR3325429	#808080	Representative genomes
ERR3325432	#808080	Representative genomes
ERR3325433	#808080	Representative genomes
ERR3325488	#808080	Representative genomes
ERR3325564	#808080	Representative genomes
ERR3325648	#808080	Representative genomes
ERR3325658	#808080	Representative genomes
ERR3325716	#808080	Representative genomes
ERR3325717	#808080	Representative genomes
ERR3325732	#808080	Representative genomes
ERR3325738	#808080	Representative genomes
ERR3325773	#808080	Representative genomes
ERR3325790	#808080	Representative genomes
ERR3325818	#808080	Representative genomes
ERR3325822	#808080	Representative genomes
ERR3325855	#808080	Representative genomes
ERR3325880	#808080	Representative genomes
ERR3325885	#808080	Representative genomes
ERR3325990	#808080	Representative genomes
ERR3326032	#808080	Representative genomes
ERR3326073	#808080	Representative genomes
ERR3326123	#808080	Representative genomes
ERR349887	#808080	Representative genomes
ERR349888	#808080	Representative genomes
ERR349890	#808080	Representative genomes
ERR349891	#808080	Representative genomes
ERR349892	#808080	Representative genomes
ERR349895	#808080	Representative genomes
ERR349897	#808080	Representative genomes
ERR349900	#808080	Representative genomes
ERR349912	#808080	Representative genomes
ERR349916	#808080	Representative genomes
ERR349918	#808080	Representative genomes
ERR349923	#808080	Representative genomes
ERR349926	#808080	Representative genomes
ERR349932	#808080	Representative genomes
ERR349951	#808080	Representative genomes
ERR349960	#808080	Representative genomes
ERR349961	#808080	Representative genomes
ERR349970	#808080	Representative genomes
ERR349971	#808080	Representative genomes
ERR349976	#808080	Representative genomes
ERR349978	#808080	Representative genomes
ERR3577328	#808080	Representative genomes
ERR3577467	#808080	Representative genomes
ERR3577528	#808080	Representative genomes
ERR3577534	#808080	Representative genomes
ERR3577590	#808080	Representative genomes
ERR3577830	#808080	Representative genomes
ERR3577890	#808080	Representative genomes
ERR3577955	#808080	Representative genomes
ERR3577970	#808080	Representative genomes
ERR3577998	#808080	Representative genomes
ERR3578026	#808080	Representative genomes
ERR3578054	#808080	Representative genomes
ERR3578067	#808080	Representative genomes
ERR3578130	#808080	Representative genomes
ERR3578134	#808080	Representative genomes
ERR3578922	#808080	Representative genomes
ERR3578940	#808080	Representative genomes
ERR3579023	#808080	Representative genomes
ERR3579095	#808080	Representative genomes
ERR3623126	#808080	Representative genomes
ERR3623134	#808080	Representative genomes
ERR3623147	#808080	Representative genomes
ERR3623149	#808080	Representative genomes
ERR3623152	#808080	Representative genomes
ERR3623155	#808080	Representative genomes
ERR3623159	#808080	Representative genomes
ERR3623168	#808080	Representative genomes
ERR3623170	#808080	Representative genomes
ERR3623182	#808080	Representative genomes
ERR3623184	#808080	Representative genomes
ERR3623231	#808080	Representative genomes
ERR3623356	#808080	Representative genomes
ERR3623361	#808080	Representative genomes
ERR3623409	#808080	Representative genomes
ERR3623410	#808080	Representative genomes
ERR3623414	#808080	Representative genomes
ERR3623422	#808080	Representative genomes
ERR3623475	#808080	Representative genomes
ERR363577	#808080	Representative genomes
ERR363578	#808080	Representative genomes
ERR363587	#808080	Representative genomes
ERR363607	#808080	Representative genomes
ERR363609	#808080	Representative genomes
ERR363612	#808080	Representative genomes
ERR363614	#808080	Representative genomes
ERR363615	#808080	Representative genomes
ERR363619	#808080	Representative genomes
ERR363621	#808080	Representative genomes
ERR363623	#808080	Representative genomes
ERR363625	#808080	Representative genomes
ERR363627	#808080	Representative genomes
ERR363630	#808080	Representative genomes
ERR363639	#808080	Representative genomes
ERR363640	#808080	Representative genomes
ERR363641	#808080	Representative genomes
ERR363643	#808080	Representative genomes
ERR363648	#808080	Representative genomes
ERR363650	#808080	Representative genomes
ERR363652	#808080	Representative genomes
ERR363655	#808080	Representative genomes
ERR363659	#808080	Representative genomes
ERR363664	#808080	Representative genomes
ERR363670	#808080	Representative genomes
ERR3851511	#808080	Representative genomes
ERR3851539	#808080	Representative genomes
ERR3851629	#808080	Representative genomes
ERR3851636	#808080	Representative genomes
ERR3851726	#808080	Representative genomes
ERR3851755	#808080	Representative genomes
ERR3851804	#808080	Representative genomes
ERR3851848	#808080	Representative genomes
ERR388291	#808080	Representative genomes
ERR388294	#808080	Representative genomes
ERR388316	#808080	Representative genomes
ERR388320	#808080	Representative genomes
ERR388324	#808080	Representative genomes
ERR388329	#808080	Representative genomes
ERR388340	#808080	Representative genomes
ERR388359	#808080	Representative genomes
ERR388367	#808080	Representative genomes
ERR388419	#808080	Representative genomes
ERR388422	#808080	Representative genomes
ERR388423	#808080	Representative genomes
ERR388428	#808080	Representative genomes
ERR388429	#808080	Representative genomes
ERR388430	#808080	Representative genomes
ERR388431	#808080	Representative genomes
ERR388432	#808080	Representative genomes
ERR388433	#808080	Representative genomes
ERR388434	#808080	Representative genomes
ERR388435	#808080	Representative genomes
ERR388438	#808080	Representative genomes
ERR388442	#808080	Representative genomes
ERR388445	#808080	Representative genomes
ERR388446	#808080	Representative genomes
ERR388447	#808080	Representative genomes
ERR388448	#808080	Representative genomes
ERR388449	#808080	Representative genomes
ERR388451	#808080	Representative genomes
ERR388452	#808080	Representative genomes
ERR388454	#808080	Representative genomes
ERR439284	#808080	Representative genomes
ERR439285	#808080	Representative genomes
ERR439287	#808080	Representative genomes
ERR439288	#808080	Representative genomes
ERR439292	#808080	Representative genomes
ERR439293	#808080	Representative genomes
ERR439295	#808080	Representative genomes
ERR439304	#808080	Representative genomes
ERR439305	#808080	Representative genomes
ERR439307	#808080	Representative genomes
ERR439308	#808080	Representative genomes
ERR439309	#808080	Representative genomes
ERR439311	#808080	Representative genomes
ERR439312	#808080	Representative genomes
ERR439313	#808080	Representative genomes
ERR439315	#808080	Representative genomes
ERR439319	#808080	Representative genomes
ERR439320	#808080	Representative genomes
ERR439321	#808080	Representative genomes
ERR439323	#808080	Representative genomes
ERR439324	#808080	Representative genomes
ERR439325	#808080	Representative genomes
ERR439326	#808080	Representative genomes
ERR439327	#808080	Representative genomes
ERR439329	#808080	Representative genomes
ERR439334	#808080	Representative genomes
ERR439335	#808080	Representative genomes
ERR439336	#808080	Representative genomes
ERR439337	#808080	Representative genomes
ERR439338	#808080	Representative genomes
ERR439342	#808080	Representative genomes
ERR439344	#808080	Representative genomes
ERR439348	#808080	Representative genomes
ERR439349	#808080	Representative genomes
ERR439351	#808080	Representative genomes
ERR439356	#808080	Representative genomes
ERR439359	#808080	Representative genomes
ERR439362	#808080	Representative genomes
ERR439364	#808080	Representative genomes
ERR439367	#808080	Representative genomes
ERR439371	#808080	Representative genomes
ERR439373	#808080	Representative genomes
ERR449458	#808080	Representative genomes
ERR449460	#808080	Representative genomes
ERR449480	#808080	Representative genomes
ERR449482	#808080	Representative genomes
ERR449483	#808080	Representative genomes
ERR449484	#808080	Representative genomes
ERR449486	#808080	Representative genomes
ERR449491	#808080	Representative genomes
ERR449492	#808080	Representative genomes
ERR449493	#808080	Representative genomes
ERR449496	#808080	Representative genomes
ERR449497	#808080	Representative genomes
ERR449500	#808080	Representative genomes
ERR449505	#808080	Representative genomes
ERR449514	#808080	Representative genomes
ERR449524	#808080	Representative genomes
ERR449553	#808080	Representative genomes
ERR449554	#808080	Representative genomes
ERR449555	#808080	Representative genomes
ERR449556	#808080	Representative genomes
ERR449559	#808080	Representative genomes
ERR449562	#808080	Representative genomes
ERR449565	#808080	Representative genomes
ERR449566	#808080	Representative genomes
ERR449569	#808080	Representative genomes
ERR449571	#808080	Representative genomes
ERR449572	#808080	Representative genomes
ERR449574	#808080	Representative genomes
ERR449578	#808080	Representative genomes
ERR449582	#808080	Representative genomes
ERR449585	#808080	Representative genomes
ERR4776618	#808080	Representative genomes
ERR4776759	#808080	Representative genomes
ERR4776783	#808080	Representative genomes
ERR485166	#808080	Representative genomes
ERR502176	#808080	Representative genomes
ERR502180	#808080	Representative genomes
ERR502182	#808080	Representative genomes
ERR502185	#808080	Representative genomes
ERR502198	#808080	Representative genomes
ERR502211	#808080	Representative genomes
ERR502212	#808080	Representative genomes
ERR502213	#808080	Representative genomes
ERR502215	#808080	Representative genomes
ERR502217	#808080	Representative genomes
ERR502221	#808080	Representative genomes
ERR502223	#808080	Representative genomes
ERR502227	#808080	Representative genomes
ERR502228	#808080	Representative genomes
ERR502233	#808080	Representative genomes
ERR502235	#808080	Representative genomes
ERR775141	#808080	Representative genomes
ERR775147	#808080	Representative genomes
ERR779758	#808080	Representative genomes
ERR779772	#808080	Representative genomes
ERR779774	#808080	Representative genomes
ERR779802	#808080	Representative genomes
ERR779820	#808080	Representative genomes
ERR779821	#808080	Representative genomes
ERR779836	#808080	Representative genomes
ERR779837	#808080	Representative genomes
ERR7975736	#808080	Representative genomes
ERR7975916	#808080	Representative genomes
ERR7975942	#808080	Representative genomes
ERR7975949	#808080	Representative genomes
ERR7976024	#808080	Representative genomes
ERR7976087	#808080	Representative genomes
ERR7976204	#808080	Representative genomes
ERR7976264	#808080	Representative genomes
ERR7977494	#808080	Representative genomes
ERR7977637	#808080	Representative genomes
ERR7977641	#808080	Representative genomes
ERR7977644	#808080	Representative genomes
ERR7985858	#808080	Representative genomes
ERR7985863	#808080	Representative genomes
ERR7985866	#808080	Representative genomes
ERR7986114	#808080	Representative genomes
ERR7986118	#808080	Representative genomes
ERR7986122	#808080	Representative genomes
ERR7986133	#808080	Representative genomes
ERR7986565	#808080	Representative genomes
ERR7986758	#808080	Representative genomes
ERR7986854	#808080	Representative genomes
ERR7987167	#808080	Representative genomes
ERR7987170	#808080	Representative genomes
ERR7987388	#808080	Representative genomes
ERR7993907	#808080	Representative genomes
ERR9668845	#808080	Representative genomes
ERR9668912	#808080	Representative genomes
ERR9668921	#808080	Representative genomes
ERR9668925	#808080	Representative genomes
ERR9668940	#808080	Representative genomes
ERR9668944	#808080	Representative genomes
ERR9668972	#808080	Representative genomes
ERR9668981	#808080	Representative genomes
ERR9668982	#808080	Representative genomes
ERR9668983	#808080	Representative genomes
ERR9668986	#808080	Representative genomes
ERR9668990	#808080	Representative genomes
ERR9668994	#808080	Representative genomes
ERR9669000	#808080	Representative genomes
ERR9669009	#808080	Representative genomes
ERR9669012	#808080	Representative genomes
ERR9669015	#808080	Representative genomes
ERR9669016	#808080	Representative genomes
ERR976912	#808080	Representative genomes
ERR976923	#808080	Representative genomes
ERR9837161	#808080	Representative genomes
ERR9837200	#808080	Representative genomes
ERR9837244	#808080	Representative genomes
ERR9837340	#808080	Representative genomes
ERR9837360	#808080	Representative genomes
ERR9837378	#808080	Representative genomes
ERR9837436	#808080	Representative genomes
ERR9837541	#808080	Representative genomes
ERR9837562	#808080	Representative genomes
ERR9837614	#808080	Representative genomes
ERR9837719	#808080	Representative genomes
ERR9837788	#808080	Representative genomes
ERR9837801	#808080	Representative genomes
ERR9837827	#808080	Representative genomes
ERR9837890	#808080	Representative genomes
ERR9837901	#808080	Representative genomes
ERR9837911	#808080	Representative genomes
ERR9837941	#808080	Representative genomes
ERR9838019	#808080	Representative genomes
ERR9838108	#808080	Representative genomes
ERR9838204	#808080	Representative genomes
ERR9838261	#808080	Representative genomes
ERR9838323	#808080	Representative genomes
ERR9838326	#808080	Representative genomes
ERR9838399	#808080	Representative genomes
ERR9838419	#808080	Representative genomes
ERR9838455	#808080	Representative genomes
ERR9838458	#808080	Representative genomes
ERR9838460	#808080	Representative genomes
ERR9838508	#808080	Representative genomes
ERR9838513	#808080	Representative genomes
ERR9838543	#808080	Representative genomes
ERR9838553	#808080	Representative genomes
ERR9838554	#808080	Representative genomes
ERR9838656	#808080	Representative genomes
ERR9838727	#808080	Representative genomes
ERR9838745	#808080	Representative genomes
ERR9838746	#808080	Representative genomes
ERR9838748	#808080	Representative genomes
ERR9838756	#808080	Representative genomes
ERR9838776	#808080	Representative genomes
ERR9838867	#808080	Representative genomes
ERR9838909	#808080	Representative genomes
ERR9838966	#808080	Representative genomes
ERR9838975	#808080	Representative genomes
ERR9839008	#808080	Representative genomes
ERR9839012	#808080	Representative genomes
ERR9839020	#808080	Representative genomes
ERR9839060	#808080	Representative genomes
ERR9839096	#808080	Representative genomes
ERR9839159	#808080	Representative genomes
ERR9839204	#808080	Representative genomes
ERR9839221	#808080	Representative genomes
ERR9839224	#808080	Representative genomes
ERR9839240	#808080	Representative genomes
ERR9839275	#808080	Representative genomes
ERR9839301	#808080	Representative genomes
ERR9839385	#808080	Representative genomes
ERR9839397	#808080	Representative genomes
ERR9839412	#808080	Representative genomes
ERR9839429	#808080	Representative genomes
ERR9839443	#808080	Representative genomes
FA1090	#808080	Representative genomes
FA19	#808080	Representative genomes
FFF007	#808080	Representative genomes
FFF012	#808080	Representative genomes
FFF017	#808080	Representative genomes
FFF023	#808080	Representative genomes
FFF041	#808080	Representative genomes
FFF044	#808080	Representative genomes
